,dialogue_id,speaker,frame,intent,utterance
79194,39_00004,USER,0,USER_INFORM|USER_INFORM_INTENT,I want to check events on my calendar for Thursday next week.
79195,39_00004,SYSTEM,0,SYSTEM_OFFER,You have a Movie booking for Breakthrough starting at 10:30 pm.
79196,39_00004,USER,0,USER_REQUEST_ALTS,Do I have any other events scheduled?
79197,39_00004,SYSTEM,0,SYSTEM_OFFER,You have a Reservation for 2 people at Mandalay Restaurant starting at 1 pm.
79198,39_00004,USER,0,USER_REQUEST_ALTS,Do I have other events scheduled?
79199,39_00004,SYSTEM,0,SYSTEM_OFFER,You have a Viewing at Park Branham Apartments starting at 11:30 am.
79200,39_00004,USER,0,USER_INFORM_INTENT|USER_SELECT,"Sounds good, when am I available?"
79201,39_00004,SYSTEM,0,SYSTEM_OFFER,You have an opening from 8 am to 11:30 am.
79202,39_00004,USER,0,USER_SELECT|USER_GOODBYE,Sounds good. That's all I need.
79203,39_00004,SYSTEM,0,SYSTEM_GOODBYE,Have a good day.
79204,39_00004,EOU,0,EOU,EOU EOU
79205,39_00005,USER,0,USER_INFORM|USER_INFORM_INTENT,What is happening March 9th on my calendar?
79206,39_00005,SYSTEM,0,SYSTEM_OFFER,You have an Apartment viewing at 11 am.
79207,39_00005,USER,0,USER_REQUEST_ALTS,Is anything else scheduled?
79208,39_00005,SYSTEM,0,SYSTEM_OFFER,You also have a Dentist appointment at 12:30 pm.
79209,39_00005,USER,0,USER_INFORM_INTENT|USER_SELECT,Okay. When should I be available?
79210,39_00005,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 4 empty slots on your calendar from 8 am through 11 am.
79211,39_00005,USER,0,USER_SELECT|USER_GOODBYE,Okay. That is all.
79212,39_00005,SYSTEM,0,SYSTEM_GOODBYE,Have a nice day.
79213,39_00005,EOU,0,EOU,EOU EOU
79214,39_00006,USER,0,USER_INFORM_INTENT,Can you help me check my calendar for events?
79215,39_00006,SYSTEM,0,SYSTEM_REQUEST,What date should be checked?
79216,39_00006,USER,0,USER_INFORM,Please check 10th of March.
79217,39_00006,SYSTEM,0,SYSTEM_OFFER,There is a 2 pm Appointment at Glam-Up.
79218,39_00006,USER,0,USER_INFORM|USER_REQUEST_ALTS,Do I have any events scheduled on March 9th?
79219,39_00006,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 2 events including a 3 pm Appointment at Sport Clips Haircuts Of Brentwood.
79220,39_00006,USER,0,USER_REQUEST_ALTS,Is there anything else on the schedule?
79221,39_00006,SYSTEM,0,SYSTEM_OFFER,At 9:30 pm you have a Movie show.
79222,39_00006,USER,0,USER_INFORM_INTENT|USER_SELECT,"Great, can you show me my availability now?"
79223,39_00006,SYSTEM,0,SYSTEM_OFFER,You have availability from 8 am to 3 pm.
79224,39_00006,USER,0,USER_SELECT,Great!
79225,39_00006,SYSTEM,0,SYSTEM_REQ_MORE,Is there anything else I can do for you?
79226,39_00006,USER,0,USER_NEGATE|USER_THANK_YOU,"Not now, thanks for checking for me."
79227,39_00006,SYSTEM,0,SYSTEM_GOODBYE,Enjoy your day!
79228,39_00006,EOU,0,EOU,EOU EOU
79229,39_00007,USER,0,USER_INFORM|USER_INFORM_INTENT,Can you check my events calendar for the 3rd of this month?
79230,39_00007,SYSTEM,0,SYSTEM_OFFER,"You have a General Practitioner appointment with Kelly A. Welsh, M.D. at 12:30 pm."
79231,39_00007,USER,0,USER_REQUEST_ALTS,Anything else?
79232,39_00007,SYSTEM,0,SYSTEM_OFFER,You also have a Geto Boys concert scheduled for 7 pm.
79233,39_00007,USER,0,USER_INFORM_INTENT|USER_SELECT,Okay. When am I available?
79234,39_00007,SYSTEM,0,SYSTEM_OFFER,You are available from 8 am to 12:30 pm.
79235,39_00007,USER,0,USER_SELECT,That sounds good.
79236,39_00007,SYSTEM,0,SYSTEM_REQ_MORE,Do you need anything else?
79237,39_00007,USER,0,USER_NEGATE|USER_THANK_YOU,No. Thank you.
79238,39_00007,SYSTEM,0,SYSTEM_GOODBYE,Your welcome. Have a nice day.
79239,39_00007,EOU,0,EOU,EOU EOU
79240,39_00008,USER,0,USER_INFORM|USER_INFORM_INTENT,I want do double check my events for next Thursday.
79241,39_00008,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"You have 2 events scheduled that day, one of them is a Dentist appointment with Dr. Susana M. Chou, starting at 10 am."
79242,39_00008,USER,0,USER_REQUEST_ALTS,Any other events?
79243,39_00008,SYSTEM,0,SYSTEM_OFFER,You also have a Restaurant reservation at Begoni Bistro at 1 pm.
79244,39_00008,USER,0,USER_INFORM_INTENT|USER_SELECT,"Thanks, show me when I have free time."
79245,39_00008,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 3 empty slots in your calender from 8 am to 10 am.
79246,39_00008,USER,0,USER_SELECT,Great thanks!
79247,39_00008,SYSTEM,0,SYSTEM_REQ_MORE,Anything else you need?
79248,39_00008,USER,0,USER_NEGATE|USER_THANK_YOU,"Nope, thank you so much!"
79249,39_00008,SYSTEM,0,SYSTEM_GOODBYE,Have a great day!
79250,39_00008,EOU,0,EOU,EOU EOU
79251,39_00009,USER,0,USER_INFORM_INTENT,"I'm trying to schedule an appointment, can you check the events on my calendar?"
79252,39_00009,SYSTEM,0,SYSTEM_REQUEST,Which dates would you like me to check?
79253,39_00009,USER,0,USER_INFORM,Check on the 6th of March.
79254,39_00009,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 2 events scheduled. You have an Apartment viewing at 11 am.
79255,39_00009,USER,0,USER_INFORM|USER_REQUEST_ALTS,How about the 9th of this month?
79256,39_00009,SYSTEM,0,SYSTEM_OFFER,You have an Apartment viewing at Mission Pointe By Windsor at 12 pm.
79257,39_00009,USER,0,USER_REQUEST_ALTS,Is that the only event scheduled?
79258,39_00009,SYSTEM,0,SYSTEM_OFFER,You also have a Dentist appointment at 2 pm.
79259,39_00009,USER,0,USER_INFORM_INTENT|USER_SELECT,"Okay, when am I available to schedule an appointment?"
79260,39_00009,SYSTEM,0,SYSTEM_OFFER,You are free from 8 am to 12 pm.
79261,39_00009,USER,0,USER_REQUEST_ALTS,Am I free any other time?
79262,39_00009,SYSTEM,0,SYSTEM_OFFER,You're also free from 12:30 pm to 2 pm.
79263,39_00009,USER,0,USER_SELECT|USER_GOODBYE,"Alright that works, thanks for your help."
79264,39_00009,SYSTEM,0,SYSTEM_GOODBYE,"No problem, have a good day."
79265,39_00009,EOU,0,EOU,EOU EOU
79266,39_00010,USER,0,USER_INFORM|USER_INFORM_INTENT,Do I have anything in my calendar for March 12th?
79267,39_00010,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 2 events scheduled on that day. One of them is an Apartment viewing at 5:30 pm.
79268,39_00010,USER,0,USER_INFORM_INTENT|USER_SELECT,Sounds good. What times am I available on that day?
79269,39_00010,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 3 empty slots on your calendar. One of them is from 8 am to 4 pm.
79270,39_00010,USER,0,USER_SELECT,Sounds good.
79271,39_00010,SYSTEM,0,SYSTEM_REQ_MORE,Do you need anything else?
79272,39_00010,USER,0,USER_NEGATE|USER_THANK_YOU,"No, that's all."
79273,39_00010,SYSTEM,0,SYSTEM_GOODBYE,Have a good day.
79274,39_00010,EOU,0,EOU,EOU EOU
79275,39_00011,USER,0,USER_INFORM|USER_INFORM_INTENT,Can you please check my calendar events for March 7th?
79276,39_00011,SYSTEM,0,SYSTEM_OFFER,Sure. You have an Apartment viewing at 12:30 pm.
79277,39_00011,USER,0,USER_INFORM|USER_REQUEST_ALTS,Anything else scheduled for Wednesday next week?
79278,39_00011,SYSTEM,0,SYSTEM_OFFER,"At 2:30 pm you have your General Practitioner appointment with Dr. Leland M. Luna, MD."
79279,39_00011,USER,0,USER_INFORM_INTENT|USER_SELECT,"OK, got it. Please tell me when I'm available."
79280,39_00011,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"At the moment you have 3 empty slots in you calendar, one starting from 8 am to 2:30 pm."
79281,39_00011,USER,0,USER_REQUEST_ALTS,Any other available time?
79282,39_00011,SYSTEM,0,SYSTEM_OFFER,"Yes, another empty slot from 3:30 pm to 5 pm."
79283,39_00011,USER,0,USER_SELECT,"OK, got it."
79284,39_00011,SYSTEM,0,SYSTEM_REQ_MORE,Is there anything else I can help you with?
79285,39_00011,USER,0,USER_NEGATE|USER_THANK_YOU,"No, that will be all."
79286,39_00011,SYSTEM,0,SYSTEM_GOODBYE,Have a good one!
79287,39_00011,EOU,0,EOU,EOU EOU
79288,39_00012,USER,0,USER_INFORM_INTENT,Please tell me about the events on my calendar.
79289,39_00012,SYSTEM,0,SYSTEM_REQUEST,For which dates would you like the events?
79290,39_00012,USER,0,USER_INFORM,Please tell me what events are on next Wednesday.
79291,39_00012,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"There are a total of 2 events. At 5:30 pm, there is a General Practitioner appointment."
79292,39_00012,USER,0,USER_INFORM|USER_REQUEST_ALTS,Please tell me what events are scheduled for March 9th.
79293,39_00012,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"There are a total of 3 events. At 6 pm, there is an Apartment viewing at Siena Pointe Apartments."
79294,39_00012,USER,0,USER_INFORM_INTENT|USER_SELECT,Thank you. Please tell me when I am free.
79295,39_00012,SYSTEM,0,SYSTEM_OFFER,You have free time between 8 am and 10:30 am.
79296,39_00012,USER,0,USER_SELECT|USER_GOODBYE,"Thank you, that's all."
79297,39_00012,SYSTEM,0,SYSTEM_GOODBYE,Enjoy the rest of your day.
79298,39_00012,EOU,0,EOU,EOU EOU
79299,39_00013,USER,0,USER_INFORM|USER_INFORM_INTENT,"Hello, I want to check the events occurring on the date of the 11th of March on my calendar."
79300,39_00013,SYSTEM,0,SYSTEM_OFFER,You have an Appointment at Stem Salon and it starts at 3 pm.
79301,39_00013,USER,0,USER_REQUEST_ALTS,Do I have any other events scheduled that day?
79302,39_00013,SYSTEM,0,SYSTEM_OFFER,You also have a Dentist appointment with Dr. Minh B. Nguyen that starts at 4:30 pm.
79303,39_00013,USER,0,USER_INFORM|USER_REQUEST_ALTS,Do I have any other items scheduled on the 1st of March?
79304,39_00013,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 3 events on your calendar for that day. You have an Apartment viewing that starts at 12 pm.
79305,39_00013,USER,0,USER_INFORM_INTENT|USER_SELECT,Sounds good. Please let me know when I am available.
79306,39_00013,SYSTEM,0,SYSTEM_OFFER,You have an empty time slot from 8 am to 10 am.
79307,39_00013,USER,0,USER_SELECT|USER_GOODBYE,"Sounds good, thank you. That is all I need."
79308,39_00013,SYSTEM,0,SYSTEM_GOODBYE,"Thank you, have a good day."
79309,39_00013,EOU,0,EOU,EOU EOU
79310,39_00014,USER,0,USER_INFORM_INTENT,Can you check my calendar for events?
79311,39_00014,SYSTEM,0,SYSTEM_REQUEST,"Sure, what date?"
79312,39_00014,USER,0,USER_INFORM,I am checking for the 7th
79313,39_00014,SYSTEM,0,SYSTEM_OFFER,There is an Apartment viewing at Crestview Apartments at 1 pm
79314,39_00014,USER,0,USER_INFORM|USER_REQUEST_ALTS,Do I have any other events this Sunday?
79315,39_00014,SYSTEM,0,SYSTEM_OFFER,There is a baseball game at 6 pm
79316,39_00014,USER,0,USER_INFORM_INTENT|USER_SELECT,"Sounds good, when am I available?"
79317,39_00014,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 3 open slots. One is from 8 am to 2:30 pm
79318,39_00014,USER,0,USER_REQUEST_ALTS,Any other times I'm available?
79319,39_00014,SYSTEM,0,SYSTEM_OFFER,"Yes, from 3:30 pm to 6 pm"
79320,39_00014,USER,0,USER_SELECT|USER_GOODBYE,"Great, that's all, thanks"
79321,39_00014,SYSTEM,0,SYSTEM_GOODBYE,Have an awesome day
79322,39_00014,EOU,0,EOU,EOU EOU
79323,39_00015,USER,0,USER_INFORM|USER_INFORM_INTENT,I would like to see the events on my calendar and more specifically for the 8th of this month.
79324,39_00015,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 3 events which I see to have been scheduled on the calendar. You have arranged an Appointment with Renew Dental Implant Specialists and the appointment is going to start at 4 pm.
79325,39_00015,USER,0,USER_INFORM|USER_REQUEST_ALTS,Are there other events which I have scheduled for the 1st of this month?
79326,39_00015,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 2 other events scheduled on the calendar. You have arranged the Apartment viewing at Lakeshore Apartments which will start at 12 pm.
79327,39_00015,USER,0,USER_INFORM_INTENT|USER_SELECT,Seems great. Tell me when I will be available.
79328,39_00015,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,I can see that 3 slots are empty on your calendar. One of the slots is from 8 am to 12 pm.
79329,39_00015,USER,0,USER_SELECT,Seems great.
79330,39_00015,SYSTEM,0,SYSTEM_REQ_MORE,What else can I help you with?
79331,39_00015,USER,0,USER_NEGATE|USER_THANK_YOU,Nothing. I appreciate your help.
79332,39_00015,SYSTEM,0,SYSTEM_GOODBYE,Have a good time.
79333,39_00015,EOU,0,EOU,EOU EOU
79334,39_00016,USER,0,USER_INFORM_INTENT,"Shelly, check upcoming events on my calendar."
79335,39_00016,SYSTEM,0,SYSTEM_REQUEST,"For what dates, please?"
79336,39_00016,USER,0,USER_INFORM,Check events for next Wednesday.
79337,39_00016,SYSTEM,0,SYSTEM_OFFER,You have an appointment with Wafelbakker Anderson Orthodontics at 1:30 pm.
79338,39_00016,USER,0,USER_REQUEST_ALTS,"Shelly, are any other events scheduled for that day?"
79339,39_00016,SYSTEM,0,SYSTEM_OFFER,"Yes, lunch at Marketbar at 5 pm."
79340,39_00016,USER,0,USER_INFORM|USER_REQUEST_ALTS,What events are scheduled for the 12th of March.
79341,39_00016,SYSTEM,0,SYSTEM_OFFER,You have a dentist appointment at 4:30 pm.
79342,39_00016,USER,0,USER_INFORM_INTENT|USER_SELECT,"Shelly, show me times I'm available that day."
79343,39_00016,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"You have 3 empty time slots, from 8 am to 12:30 pm that day."
79344,39_00016,USER,0,USER_REQUEST_ALTS,What are my available afternoon slots?
79345,39_00016,SYSTEM,0,SYSTEM_OFFER,From 2 pm to 4:30 pm.
79346,39_00016,USER,0,USER_SELECT,"Thanks, Shelly."
79347,39_00016,SYSTEM,0,SYSTEM_REQ_MORE,May I help you with anything else?
79348,39_00016,USER,0,USER_NEGATE|USER_THANK_YOU,"No, that's all I needed to know."
79349,39_00016,SYSTEM,0,SYSTEM_GOODBYE,Have a great day.
79350,39_00016,EOU,0,EOU,EOU EOU
79351,39_00017,USER,0,USER_INFORM|USER_INFORM_INTENT,Which events are on my calendar Monday next week?
79352,39_00017,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 3 events one of which is a Dermatologist appointment at 12 pm.
79353,39_00017,USER,0,USER_INFORM|USER_REQUEST_ALTS,What else is on my schedule the 3rd?
79354,39_00017,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 2 events. You have an Apartment viewing at 10 am.
79355,39_00017,USER,0,USER_INFORM_INTENT|USER_SELECT,"When am I available, please."
79356,39_00017,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,From 8 am to 10 am there are 2 empty slots.
79357,39_00017,USER,0,USER_REQUEST_ALTS,Is there any other free time?
79358,39_00017,SYSTEM,0,SYSTEM_OFFER,11:30 am to 12 pm is also free.
79359,39_00017,USER,0,USER_SELECT,Thanks.
79360,39_00017,SYSTEM,0,SYSTEM_REQ_MORE,Do you need anything else?
79361,39_00017,USER,0,USER_NEGATE|USER_THANK_YOU,No.
79362,39_00017,SYSTEM,0,SYSTEM_GOODBYE,Have a great day.
79363,39_00017,EOU,0,EOU,EOU EOU
79364,39_00018,USER,0,USER_INFORM|USER_INFORM_INTENT,"Hey, I'd like to see what I'm doing on March 5th. Can you check my calendar?"
79365,39_00018,SYSTEM,0,SYSTEM_OFFER,Sure. On March 5th you're going to the Girl In Red concert at 5 pm.
79366,39_00018,USER,0,USER_INFORM_INTENT|USER_SELECT,"Oh great, thanks. When am I available that day?"
79367,39_00018,SYSTEM,0,SYSTEM_OFFER,You're available from 8 am to 11 am.
79368,39_00018,USER,0,USER_SELECT|USER_GOODBYE,Fantastic. That's all.
79369,39_00018,SYSTEM,0,SYSTEM_GOODBYE,"Okay, see you."
79370,39_00018,EOU,0,EOU,EOU EOU
79371,39_00019,USER,0,USER_INFORM_INTENT,I'd like to check on some events in my calendar.
79372,39_00019,SYSTEM,0,SYSTEM_REQUEST,Do you have a specific date in mind?
79373,39_00019,USER,0,USER_INFORM,It is the 8th of March.
79374,39_00019,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,"You currently have 3 scheduled events, one of them is Apartment viewing, starting at 5 pm."
79375,39_00019,USER,0,USER_INFORM_INTENT|USER_SELECT,Thanks! I'd like to see when I have time available.
79376,39_00019,SYSTEM,0,SYSTEM_OFFER,You're free from 8 am to 4 pm.
79377,39_00019,USER,0,USER_SELECT,That sounds great!
79378,39_00019,SYSTEM,0,SYSTEM_REQ_MORE,Is there something else I can help you with?
79379,39_00019,USER,0,USER_NEGATE|USER_THANK_YOU,"Nope, thanks for your help!"
79380,39_00019,SYSTEM,0,SYSTEM_GOODBYE,Have a great day!
79381,39_00019,EOU,0,EOU,EOU EOU
79382,39_00020,USER,0,USER_INFORM_INTENT,I need to know the events on my calendar.
79383,39_00020,SYSTEM,0,SYSTEM_REQUEST,Which days events would you like to know?
79384,39_00020,USER,0,USER_INFORM,I need to know the events on the 1st of March.
79385,39_00020,SYSTEM,0,SYSTEM_OFFER,At 2:30 pm you have a General Practitioner appointment.
79386,39_00020,USER,0,USER_INFORM_INTENT|USER_SELECT,"Great, when am I free?"
79387,39_00020,SYSTEM,0,SYSTEM_OFFER,You are free from 8 am to 2:30 pm.
79388,39_00020,USER,0,USER_SELECT,"Perfect, thank you."
79389,39_00020,SYSTEM,0,SYSTEM_REQ_MORE,Is there anything else I can help you with.
79390,39_00020,USER,0,USER_NEGATE|USER_THANK_YOU,"That is all I need, thank you."
79391,39_00020,SYSTEM,0,SYSTEM_GOODBYE,Enjoy your day.
79392,39_00020,EOU,0,EOU,EOU EOU
79393,39_00021,USER,0,USER_INFORM_INTENT,I want to check what events are coming up on my calendar.
79394,39_00021,SYSTEM,0,SYSTEM_REQUEST,Which date on your calendar are looking to check?
79395,39_00021,USER,0,USER_INFORM,Next Wednesday.
79396,39_00021,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There are 3 events scheduled on your calendar. You also have a Movie booking for Pet Sematary that is going to begin at 9:30 pm.
79397,39_00021,USER,0,USER_INFORM_INTENT|USER_SELECT,Great. Tell me when I am available.
79398,39_00021,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,You have 4 empty slots in your calendar from 8 am to 10:30 am.
79399,39_00021,USER,0,USER_REQUEST_ALTS,Are there any other available times?
79400,39_00021,SYSTEM,0,SYSTEM_OFFER,There is also an empty slot from 11 am to 5 pm.
79401,39_00021,USER,0,USER_REQUEST_ALTS,Are there any other available times?
79402,39_00021,SYSTEM,0,SYSTEM_OFFER,There is also an empty slot from 7 pm to 9:30 pm.
79403,39_00021,USER,0,USER_SELECT|USER_GOODBYE,Great. That is all I needed to know.
79404,39_00021,SYSTEM,0,SYSTEM_GOODBYE,Have a great rest of your day!
79405,39_00021,EOU,0,EOU,EOU EOU
79406,39_00022,USER,0,USER_INFORM|USER_INFORM_INTENT,What do I have for events on my calendar for the 7th of March?
79407,39_00022,SYSTEM,0,SYSTEM_OFFER|SYSTEM_INFORM_COUNT,There is 2 events scheduled. A Baseball game that starts at 7:30 pm.
79408,39_00022,USER,0,USER_INFORM|USER_REQUEST_ALTS,Do I have any other events scheduled on March 10th?
79409,39_00022,SYSTEM,0,SYSTEM_OFFER,Yes you have a 10 am Dentist appointment.
79410,39_00022,USER,0,USER_REQUEST_ALTS,Any other events Scheduled?
79411,39_00022,SYSTEM,0,SYSTEM_OFFER,A General Practitioner Appointment at 5 pm.
79412,39_00022,USER,0,USER_INFORM_INTENT|USER_SELECT,Thanks. Tell me when I am available.
